Unnamed: 0,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
111,Colors of white in Urdu,BEAUTY,4.5,36,6.7,10000,Free,0.0,Everyone,Beauty,"July 26, 2018",6,4.0 and up
112,Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30.0,50000,Free,0.0,Teen,Beauty,"July 24, 2018",3.0.1,4.0.3 and up
113,Wrinkles and rejuvenation,BEAUTY,,182,5.7,100000,Free,0.0,Everyone 10+,Beauty,"September 20, 2017",8,3.0 and up
114,Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9,10000,Free,0.0,Everyone,Beauty,"April 9, 2018",3.3.9,4.0.3 and up
115,Photo Editor 2018,BEAUTY,4.5,134,17.0,10000,Free,0.0,Everyone,Beauty,"March 1, 2018",1.2,4.0.3 and up
116,Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9,10000,Free,0.0,Everyone,Beauty,"April 5, 2018",2.3.09,4.0.3 and up
119,Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6,1000000,Free,0.0,Everyone,Beauty,"November 21, 2017",1.4.2,4.0 and up
120,Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2,50000,Free,0.0,Everyone,Beauty,"October 18, 2017",1.0.0,4.0.3 and up
121,Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1,10000,Free,0.0,Everyone,Beauty,"May 29, 2018",1,4.0 and up
123,Manicure - nail design,BEAUTY,,119,3.7,50000,Free,0.0,Everyone,Beauty,"July 23, 2018",1.3,4.1 and up
124,"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22.0,500000,Free,0.0,Everyone,Beauty,"July 12, 2018",1.1.0,4.0.3 and up
125,Filters for B Live,BEAUTY,4.4,2280,24.0,500000,Free,0.0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up
126,Skin Care and Natural Beauty,BEAUTY,,654,7.4,100000,Free,0.0,Teen,Beauty,"July 17, 2018",1.15,4.1 and up
127,Facial Wrinkle Reduction,BEAUTY,4.6,184,21.0,10000,Free,0.0,Everyone,Beauty,"July 2, 2018",1.5,4.1 and up
128,Makeup Videos,BEAUTY,3.8,9,3.4,5000,Free,0.0,Everyone,Beauty,"June 7, 2018",1,4.0 and up
129,"Secrets of beauty, youth and health",BEAUTY,,77,2.9,10000,Free,0.0,Mature 17+,Beauty,"August 8, 2017",2,2.3 and up
130,Recipes and tips for losing weight,BEAUTY,,35,3.1,10000,Free,0.0,Everyone 10+,Beauty,"December 11, 2017",2,3.0 and up
131,Discover Color,BEAUTY,4.0,364,6.4,100000,Free,0.0,Everyone,Beauty,"May 24, 2018",1.1,4.0.3 and up
132,Eyeliner step by step 2018,BEAUTY,4.3,18,3.2,5000,Free,0.0,Everyone,Beauty,"June 1, 2018",1.2.13,4.0.3 and up
133,Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2,100000,Free,0.0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up
134,"Lady adviser (beauty, health)",BEAUTY,,30,9.9,10000,Free,0.0,Mature 17+,Beauty,"January 24, 2018",3,3.0 and up
135,Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9,10000,Free,0.0,Everyone,Beauty,"April 5, 2018",3.1.89,4.0.3 and up
136,Rainbow Camera,BEAUTY,3.7,3871,23.0,1000000,Free,0.0,Everyone,Beauty,"July 30, 2018",2.2.0,4.0 and up
137,Methods of teeth whitening,BEAUTY,4.7,257,4.6,50000,Free,0.0,Everyone,Beauty,"August 7, 2017",1,4.0.3 and up
138,Girls hairstyles 2018,BEAUTY,4.2,62,3.1,10000,Free,0.0,Everyone,Beauty,"May 28, 2018",1.9.2,4.0.3 and up
140,E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9,50000,Free,0.0,Everyone,Books & Reference,"August 3, 2018",1.3.2,4.4 and up
141,Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5,100000,Free,0.0,Everyone 10+,Books & Reference,"July 31, 2017",1.1,4.0 and up
147,Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2,100000,Free,0.0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up
148,Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4,1000000,Free,0.0,Teen,Books & Reference,"June 6, 2018",3.2.1,4.0 and up
